wk_end,CountyName,res_county,People,IPeople,amt_benefits
2017-01-21,Hill,041,134,31,28454
2017-01-21,Jefferson,043,126,19,39190
2017-01-21,Judith Basin,045,12,,
2017-01-21,Lake,047,305,51,64450
2017-01-21,Lewis and Clark,049,760,83,204387
2017-01-21,Liberty,051,8,3,1462
2017-01-21,Lincoln,053,374,41,97864
2017-01-21,McCone,055,3,,
2017-01-21,Madison,057,79,13,19355
2017-01-21,Meagher,059,20,,5775
2017-01-21,Mineral,061,58,8,15103
2017-01-21,Missoula,063,1395,168,340655
2017-01-21,Musselshell,065,45,5,14049
2017-01-21,Park,067,185,24,42781
2017-01-21,Petroleum,069,3,,
2017-01-21,Phillips,071,41,4,11445
2017-01-21,Pondera,073,41,6,11039
2017-01-21,Powder River,075,7,,1996
2017-01-21,Powell,077,65,5,16218
2017-01-21,Prairie,079,6,,1032
2017-01-21,Ravalli,081,555,45,146746
2017-01-21,Richland,083,99,21,24453
2017-01-21,Roosevelt,085,70,10,18635
2017-01-21,Rosebud,087,90,6,26576
2017-01-21,Sanders,089,171,18,52748
2017-01-21,Sheridan,091,25,,7304
2017-01-21,Silver Bow,093,440,44,111005
2017-01-21,Stillwater,095,99,11,29654
2017-01-21,Sweet Grass,097,21,4,4463
2017-01-21,Teton,099,62,5,17588
2017-01-21,Toole,101,22,,6752
2017-01-21,Treasure,103,0,0,0
2017-01-21,Valley,105,64,4,19545
2017-01-21,Wheatland,107,19,,5358
2017-01-21,Wibaux,109,,,
2017-01-21,Yellowstone,111,1574,187,435994
2017-01-28,Beaverhead,001,67,10,16387
2017-01-28,Big Horn,003,416,61,99013
2017-01-28,Blaine,005,31,,8562
2017-01-28,Broadwater,007,47,3,13008
2017-01-28,Carbon,009,92,8,29478
2017-01-28,Carter,011,3,,831
2017-01-28,Cascade,013,808,94,200210
2017-01-28,Chouteau,015,15,3,3263
2017-01-28,Custer,017,104,12,33437
2017-01-28,Daniels,019,4,,
2017-01-28,Dawson,021,53,9,15718
2017-01-28,Deer Lodge,023,91,10,25708
2017-01-28,Fallon,025,16,,5022
2017-01-28,Fergus,027,137,8,46528
2017-01-28,Flathead,029,1710,146,467075
2017-01-28,Gallatin,031,758,87,205205
2017-01-28,Garfield,033,5,,1478
2017-01-28,Glacier,035,197,20,49632
2017-01-28,Golden Valley,037,8,,1965
2017-01-28,Granite,039,43,,13848
2017-01-28,Hill,041,129,12,32371
2017-01-28,Jefferson,043,133,21,39530
2017-01-28,Judith Basin,045,11,3,
2017-01-28,Lake,047,321,49,67734
2017-01-28,Lewis and Clark,049,760,82,207509
2017-01-28,Liberty,051,5,,1691
2017-01-28,Lincoln,053,394,34,109014
2017-01-28,McCone,055,,,
2017-01-28,Madison,057,88,9,23043
2017-01-28,Meagher,059,17,3,4490
2017-01-28,Mineral,061,56,5,15822
2017-01-28,Missoula,063,1376,144,347195
2017-01-28,Musselshell,065,41,3,11622
2017-01-28,Park,067,186,23,44455
2017-01-28,Petroleum,069,4,,1948
2017-01-28,Phillips,071,40,4,11566
2017-01-28,Pondera,073,40,,12983
2017-01-28,Powder River,075,9,,2744
2017-01-28,Powell,077,61,5,14657
2017-01-28,Prairie,079,4,,1111
2017-01-28,Ravalli,081,559,55,146706
2017-01-28,Richland,083,97,13,25876
2017-01-28,Roosevelt,085,75,11,20995
2017-01-28,Rosebud,087,89,13,24973
2017-01-28,Sanders,089,169,17,52025
2017-01-28,Sheridan,091,20,,6871
2017-01-28,Silver Bow,093,436,50,112386
2017-01-28,Stillwater,095,100,17,28219
2017-01-28,Sweet Grass,097,15,4,3992
2017-01-28,Teton,099,58,10,14145
2017-01-28,Toole,101,19,,6116
2017-01-28,Treasure,103,,,
2017-01-28,Valley,105,60,,17554
2017-01-28,Wheatland,107,15,,4244
2017-01-28,Wibaux,109,,,
2017-01-28,Yellowstone,111,1562,155,455321
2017-02-04,Beaverhead,001,62,7,17335
2017-02-04,Big Horn,003,412,36,107263
2017-02-04,Blaine,005,26,,8186
2017-02-04,Broadwater,007,63,13,18716
2017-02-04,Carbon,009,85,11,26970
2017-02-04,Carter,011,4,,
2017-02-04,Cascade,013,808,66,212607
2017-02-04,Chouteau,015,15,,3691
2017-02-04,Custer,017,100,5,31962
2017-02-04,Daniels,019,3,,
2017-02-04,Dawson,021,50,5,13663
2017-02-04,Deer Lodge,023,94,10,26157
2017-02-04,Fallon,025,16,,5371
2017-02-04,Fergus,027,134,9,47713
2017-02-04,Flathead,029,1656,144,460736
2017-02-04,Gallatin,031,786,107,225465
2017-02-04,Garfield,033,5,,
2017-02-04,Glacier,035,191,11,52600
2017-02-04,Golden Valley,037,5,,1840
2017-02-04,Granite,039,34,,11268
2017-02-04,Hill,041,130,18,31841
2017-02-04,Jefferson,043,138,12,42985
2017-02-04,Judith Basin,045,14,,
2017-02-04,Lake,047,316,32,74517
2017-02-04,Lewis and Clark,049,743,61,209727
2017-02-04,Liberty,051,7,,2449
2017-02-04,Lincoln,053,364,33,105425
2017-02-04,McCone,055,,,
2017-02-04,Madison,057,83,10,21576
2017-02-04,Meagher,059,20,4,5237
2017-02-04,Mineral,061,48,3,13398
2017-02-04,Missoula,063,1356,138,343582
2017-02-04,Musselshell,065,37,,12410
2017-02-04,Park,067,182,19,47072
2017-02-04,Petroleum,069,3,,
2017-02-04,Phillips,071,40,,12175
2017-02-04,Pondera,073,38,4,11777
2017-02-04,Powder River,075,7,,2130
2017-02-04,Powell,077,57,7,14730
2017-02-04,Prairie,079,3,,
2017-02-04,Ravalli,081,539,31,150066
2017-02-04,Richland,083,99,18,26315
2017-02-04,Roosevelt,085,68,7,19660
2017-02-04,Rosebud,087,89,6,27787
2017-02-04,Sanders,089,167,17,54211
2017-02-04,Sheridan,091,24,4,5895
2017-02-04,Silver Bow,093,433,40,115478
2017-02-04,Stillwater,095,101,9,30831
2017-02-04,Sweet Grass,097,20,5,5302
2017-02-04,Teton,099,66,4,18511
2017-02-04,Toole,101,18,,6758
2017-02-04,Treasure,103,,,
2017-02-04,Valley,105,68,7,20756
2017-02-04,Wheatland,107,21,5,5505
2017-02-04,Wibaux,109,,,
2017-02-04,Yellowstone,111,1599,199,472409
2017-02-11,Beaverhead,001,70,8,17979
